['Post-it ', 'Scotch tape', 'Paper', 'Disposable', 'Plastic ']
['water pump ', 'motor ', 'manufacturing ', 'efficiency ', 'innovation']
['Pharmaceuticals ', 'Healthcare ', 'Diabetes ', 'Insulin ', 'Nutrition Products']
['pharmaceutical ', 'biotechnology ', 'drugs ', 'vaccines ', 'oncology']
['consulting ', 'management ', 'strategy ', 'digital ', 'innovation']
['Creative Cloud ', 'Adobe Photoshop ', 'Illustrator', 'InDesign', 'Acrobat ']
['CPU ', 'GPU', 'Ryzen', 'Zen', 'AM4']
['Energy ', 'Renewable energy ', 'Power generation ', 'Transmission and distribution ', 'Smart grid technologies']
['insurance', 'annuities', 'retirement', 'financial security', 'investment']
['Analyzer ', 'Instrumentation', 'Scientific Instruments', 'Test Equipment', 'Data Acquisition']
['chemicals ', 'air separation ', 'hydrogen ', 'sulfuric acid ', 'refining products']
['accommodation ', 'rental ', 'traveler ', 'booking ', 'experiences']
['Content Delivery Network (CDN)', 'Edge Computing', 'Cloud Infrastructure', 'Internet Service Provider (ISP)', 'Streaming Media Technologies']
['Chemicals ', 'Materials', 'Manufacturing', 'Innovation', 'Performance Technologies']
['real estate ', 'investment ', 'property ', 'development ', 'capitalization']
['dental implant ', '3D printing ', 'Invisalign ', 'orthodontics ', 'CAD/CAM']
['Insurance ', 'Financial Services ', 'Property and Casualty ', 'Risk Management ', 'Underwriting']
['', 'utility ', 'renewable energy ', 'carbon footprint ', 'regulatory compliance ', 'shareholder value']
['insurance ', 'auto ', 'property ', 'casualty ', 'underwriting']
['Google', 'search engine', 'Android', 'YouTube', 'advertising']
['Google ', 'Android', 'YouTube', 'Search Engine', 'Digital Advertising']
['tobacco ', 'cigarette', 'Marlboro', 'Philip Morris International', 'revenue']
['e-commerce', 'cloud computing', 'Alexa', 'Jeff Bezos', 'Prime membership']
['Aluminum ', 'packaging ', 'materials ', 'sustainability ', 'innovation']
['utility ', 'energy ', 'renewable energy ', 'carbon emissions ', 'regulatory compliance']
['Flight ', 'Airline', 'Passenger', 'Travel', 'Customer Service']
['electricity ', 'power generation ', 'renewable energy ', 'transmission ', 'distribution']
['credit card ', 'payment ', 'membership ', 'travel ', 'financial services']
['insurance ', 'financial services ', 'reinsurance ', 'risk management ', 'investment banking']
['cell tower', 'telecommunications ', 'infrastructure', 'broadband', 'wireless communication']
['water ', 'utility ', 'service ', 'infrastructure ', 'regulation']
['financial services', 'investment advice', 'retirement planning ', 'insurance', 'wealth management']
['Electricity', 'Metals', 'Semiconductors', 'Manufacturing ', 'Innovation']
['biotechnology ', 'pharmaceuticals ', 'drugs ', 'cancer ', 'research']
['Connector', 'Electronic component', 'Component', 'Circuit', 'Terminal']
['analog ', 'semiconductors', 'mixed-signal', 'precision', 'instrumentation']
['simulation ', 'engineering ', 'finite element method (FEM)', 'CAD', 'design']
['insurance ', 'risk management', 'reinsurance', 'claims adjuster', 'underwriting']
[ 'Paper ', 'Printing', 'Stationery', 'Inks', 'Supplies ']
['iPhone ', 'iPad', 'MacBook', 'Apple Watch', 'iOS']
['semiconductor ', 'manufacturing ', 'capital equipment ', 'thin film ', 'display technology']
['Automotive ', 'Electric powertrain ', 'Advanced driver assistance systems (ADAS) ', 'Autonomous vehicles ', 'Vehicle connectivity technologies']
['insurance', 'financial services', 'investment', 'risk management', 'reinsurance']
['agricultural ', 'commodities', 'trading', 'milling', 'processing']
['Ethernet ', 'cloud networking', 'data center', 'virtualization', 'SDN (Software Defined Networking)']
['insurance ']
[ 'insurance ', 'risk management ', 'financial services ', 'cybersecurity ', 'emerging technologies ']
['telecommunication ', 'mobile phone ', 'broadband internet ', 'customer service ', 'merger and acquisition']
['', 'utility ', 'renewable energy ', 'natural gas ', 'carbon emissions ', 'regulatory compliance']
['3D modeling ', 'design software ', 'CAD (Computer-Aided Design)', 'Revit', 'AutoCAD']
['payroll ', 'HR ', 'outsourcing ', 'tax ', 'financial services']
['automotive ', 'parts ', 'store ', 'inventory ', 'distribution']
['apartment ', 'real estate ', 'development ', 'housing ', 'rental properties']
['Labels and Tags ', 'Printing Materials ', 'Adhesive Technologies ', 'Branding Solutions ', 'Innovation and Sustainability']


['aluminum', 'cans', 'recycling', 'beverage', 'packaging']
['financial services ', 'banking ', 'Merrill Lynch', 'investment ', 'stock market']
['financial services ', 'investment management ', 'banking ', 'asset management ', 'securities trading']
['fragrance ', 'body wash', 'lotion', 'candle', 'soaps']
['medical devices ', 'infusion pumps', 'sterile solutions', 'diabetes care', 'healthcare products']
['Medical Devices ', 'Diagnostics', 'Surgical Instruments', 'Vascular Closure Devices', 'Healthcare Products']
['insurance ', 'investment', 'Warren Buffett', 'stock market', 'value investing']
['consumer electronics', 'technology', 'smart home', 'appliances', 'mobile phones']
['Scientific Instruments ', 'Laboratory Equipment ', 'Biochemistry ', 'Chromatography ', 'Scientific Research Tools']
['Biomolecules ', 'Biotechnology ', 'Research ', 'Innovation ', 'Development']
['Biogen ', "Alzheimer's disease", 'Epidermal growth factor receptor (EGFR) inhibitors', 'Neurology', 'Neurodegenerative diseases']
['Investment management ', 'Mutual fund', 'ETF', 'Asset management', 'Financial services']
['private equity ', 'investment ', 'asset management ', 'mergers and acquisitions ', 'financial services']
['airplane ', 'aircraft', 'commercial aviation', 'manufacturing', 'order']
['Airbnb', 'hotel ', 'vacation rental', 'reservation', 'online booking']
['Turbocharger ', 'Automotive ', 'Engine ', 'Aftermarket ', 'Compression Ignition Technologies ']
[ 'Medical device', 'Stent', 'Implantable devices', 'Cardiology', 'Heart disease ']
['pharmaceutical ', 'drug ', 'innovation ', 'oncology ', 'research']
['semiconductor ', 'networking', '5G', 'modem', 'chipsets']
['financial services ', 'investor communications ', 'electronic data interchange (EDI) ', 'shareholder services ', 'capital markets technology']
['insurance ', 'risk management', 'property and casualty', 'claims adjuster', 'underwriting']
['Whiskey ', 'Bourbon ', 'Spirits ', 'Tequila ', 'Vodka  ']
['Building materials ', 'Construction supplies', 'Warehouse', 'Distribution', 'Inventory management']
['Agriculture ', 'Commodities ', 'Crop Production ', 'Trading ', 'Supply Chain Management']
['real estate ', 'development ', 'acquisition ', 'property ', 'investment']
['semiconductor ', 'design software ', 'integrated circuits ', 'IP cores ', 'verification tools']
['casino ', 'gaming ', 'resort ', 'entertainment ', 'hotel']
['Real estate ', 'Apartments', 'Investment', 'Property', 'Capitalization']
['soup ', 'canned food', 'brand', 'innovation', 'sales']
['credit card', 'financial services', 'personal loan', 'checking account', 'online banking']
['medical supplies ', 'pharmaceuticals ', 'healthcare ', 'distribution ', 'supply chain']
['Used car ', 'dealership', 'financing', 'vehicles', 'sales']
['Theme park ', 'Entertainment ', 'Attraction ', 'Cruise ship', 'Fun ']
['aircraft ', 'engine ', 'maintenance ', 'fuel efficiency ', 'engines']
['Chemicals ', 'Biologics', 'Contract Manufacturing', 'Innovation', 'Development']
['diesel engine ', 'construction equipment ', 'mining machinery ', 'engines ', 'CAT Corp.']
['derivatives ', 'trading ', 'equity ', 'options ', 'index']
['Commercial real estate ', 'Property management ', 'Leasing ', 'Investments ', 'Real estate services']
